
Image Name                     PID Session Name        Session#    Mem Usage Status          User Name                                              CPU Time Window Title                                                            
MoUsoCoreWorker.exe          17760 Services                   0     18,640 K Unknown         NT AUTHORITY\SYSTEM                                     0:01:18 N/A                                                                     
svchost.exe                  19116 Services                   0     12,724 K Unknown         NT AUTHORITY\SYSTEM                                     0:00:02 N/A                                                                     
jucheck.exe                  20496 Console                    1      3,688 K Running         DESKTOP-PCHRVE5\ai                                      0:00:00 JavaUpdate SysTray Icon                                                 
cmd.exe                       4552 Console                    1      4,956 K Running         DESKTOP-PCHRVE5\ai                                      0:00:00 C:\Windows\System32\cmd.exe                                             
conhost.exe                  16568 Console                    1      2,788 K Running         DESKTOP-PCHRVE5\ai                                      0:00:02 N/A                                                                     
audiodg.exe                  17556 Services                   0     14,748 K Unknown         NT AUTHORITY\LOCAL SERVICE                              0:02:22 N/A                                                                     
uSmartView_VDI_Client.exe    19472 Console                    1    205,940 K Running         DESKTOP-PCHRVE5\ai                                      1:28:15 ch-desk02-00024(P002335)                                                
cmd.exe                      16852 Console                    1      4,936 K Running         DESKTOP-PCHRVE5\ai                                      0:00:00 选择 C:\Windows\System32\cmd.exe                                        
conhost.exe                   1412 Console                    1     12,668 K Running         DESKTOP-PCHRVE5\ai                                      0:00:00 N/A                                                                     
OneDrive.Sync.Service.exe    21628 Console                    1      6,396 K Running         DESKTOP-PCHRVE5\ai                                      0:00:04 Microsoft OneDrive Sync Service                                         
MSPCManagerService.exe       18268 Services                   0     43,580 K Unknown         NT AUTHORITY\SYSTEM                                     0:00:56 N/A                                                                     
HipsDaemon.exe               17152 Services                   0      9,800 K Unknown         NT AUTHORITY\SYSTEM                                     0:37:48 N/A                                                                     
taskhostw.exe                18024 Console                    1      5,604 K Running         DESKTOP-PCHRVE5\ai                                      0:00:01 Task Host Window                                                        
